Date,Open,High,Low,Close,Adj Close,Volume
2010-05-05,24.799999,24.899000,23.601000,23.794001,20.548706,25627000
2010-05-06,23.541000,23.799000,21.100000,23.030001,19.888906,34273000
2010-05-07,22.834999,23.398001,22.204000,22.309000,19.266243,29304000
2010-05-10,23.399000,23.612000,22.833000,23.031000,19.889767,29826000
2010-05-11,22.740999,22.749001,22.124001,22.323999,19.279200,29271000
2010-05-12,22.500000,23.622000,22.459000,23.261999,20.089270,29123000
2010-05-13,23.270000,23.992001,23.056000,23.231001,20.062496,22049000
2010-05-14,21.530001,22.002001,20.907000,21.245001,18.347366,101983000
2010-05-17,21.524000,21.667000,20.819000,21.080999,18.205734,34138000
2010-05-18,21.294001,21.462000,19.558001,20.281000,17.514845,70828000
2010-05-19,20.305000,21.325001,19.605000,20.245001,17.483759,91584000
2010-05-20,19.666000,20.999001,19.666000,20.549999,17.747158,51156000
2010-05-21,20.239000,21.733999,20.218000,21.385000,18.468271,43426000
2010-05-24,21.539000,21.649000,20.983999,20.983999,18.121967,17858000
2010-05-25,20.407000,20.865999,20.381001,20.687000,17.865475,22472000
2010-05-26,21.031000,21.295000,20.500000,20.500000,17.703978,21772000
2010-05-27,21.025000,21.128000,20.580000,20.780001,17.945787,19644000
2010-05-28,20.737000,20.823999,20.115000,20.177000,17.425032,25471000
2010-06-01,20.100000,20.370001,19.975000,20.039000,17.305859,22633000
2010-06-02,20.132999,20.188999,19.962000,20.101999,17.360264,20431000
2010-06-03,20.131001,20.363001,20.125000,20.200001,17.444897,19643000
2010-06-04,19.950001,20.087000,19.650000,19.667000,16.984589,33167000
2010-06-07,19.729000,20.549999,19.726999,20.007000,17.278214,26819000
2010-06-08,20.112000,20.233000,19.535000,19.754000,17.059725,33612000
2010-06-09,19.799999,20.062000,19.375999,19.546000,16.880096,26857000
2010-06-10,19.823999,20.629999,19.799999,20.511999,17.714338,45764000
2010-06-11,20.400000,20.544001,20.156000,20.488001,17.693615,19569000
2010-06-14,20.684000,20.731001,20.311001,20.417000,17.632303,12166000
2010-06-15,20.545000,20.974001,20.288000,20.957001,18.098650,18280000
2010-06-16,20.715000,21.146999,20.627001,21.062000,18.189325,15745000
2010-06-17,21.215000,21.716999,21.111000,21.400000,18.481232,22337000
2010-06-18,21.548000,21.643999,21.239000,21.426001,18.503679,13863000
